instance,row,col,x,y
u_cortex_0.u_spu13.node_0,36,72,0.5,0.5
u_cortex_0.u_spu13.node_1,36,79,0.56,0.5
u_cortex_0.u_spu13.node_2,37,78,0.5519615242270663,0.53
u_cortex_0.u_spu13.node_3,39,75,0.53,0.5519615242270663
u_cortex_0.u_spu13.node_4,39,72,0.5,0.56
u_cortex_0.u_spu13.node_5,39,68,0.47000000000000003,0.5519615242270663
u_cortex_0.u_spu13.node_6,37,65,0.44803847577293365,0.53
u_cortex_0.u_spu13.node_7,36,64,0.44,0.5
u_cortex_0.u_spu13.node_8,34,65,0.44803847577293365,0.47000000000000003
u_cortex_0.u_spu13.node_9,32,68,0.47,0.4480384757729337
u_cortex_0.u_spu13.node_10,32,72,0.5,0.44
u_cortex_0.u_spu13.node_11,32,75,0.53,0.4480384757729337
u_cortex_0.u_spu13.node_12,34,78,0.5519615242270663,0.47
